franchise,part,title,year,franchise_length,rating,rating_avg,rating_diff_avg,rating_rel_avg,quality_avg
Lone Wolf and Cub,6,Lone Wolf and Cub: White Heaven in Hell,1974,6,3.65,3.76,-0.11,-3.0,worse
Long flat balls,1,Long Flat Balls,2006,3,3.2,3.15,0.05,2.0,better
Long flat balls,2,Long Flat Balls II,2008,3,3.04,3.15,-0.11,-3.0,worse
Long flat balls,3,Long Flat Balls III,2022,3,3.22,3.15,0.07,2.0,better
Look Who's Talking,1,Look Who's Talking,1989,3,2.84,2.46,0.38,15.0,better
Look Who's Talking,2,Look Who's Talking Too,1990,3,2.35,2.46,-0.11,-4.0,worse
Look Who's Talking,3,Look Who's Talking Now!,1993,3,2.19,2.46,-0.27,-11.0,worse
Lost Boys,1,The Lost Boys,1987,3,3.63,2.63,1.0,38.0,better
Lost Boys,2,Lost Boys: The Tribe,2008,3,2.04,2.63,-0.59,-22.0,worse
Lost Boys,3,Lost Boys: The Thirst,2010,3,2.23,2.63,-0.4,-15.0,worse
Lost,1,Lost on Journey,2010,4,3.32,3.01,0.31,10.0,better
Lost,2,Lost in Thailand,2012,4,3.02,3.01,0.01,0.0,better
Lost,3,Lost in Hong Kong,2015,4,2.82,3.01,-0.19,-6.0,worse
Lost,4,Lost in Russia,2020,4,2.9,3.01,-0.11,-4.0,worse
Louis & Luca,1,The Pinchcliffe Grand Prix,1975,5,3.83,3.45,0.38,11.0,better
Louis & Luca,2,Gurin with the Foxtail,1998,5,3.36,3.45,-0.09,-3.0,worse
Louis & Luca,3,Louis & Luca and the Snow Machine,2013,5,3.39,3.45,-0.06,-2.0,worse
Louis & Luca,4,Louis & Luca: The Big Cheese Race,2015,5,3.34,3.45,-0.11,-3.0,worse
Louis & Luca,5,Louis & Luca: Mission to the Moon,2018,5,3.35,3.45,-0.1,-3.0,worse
Love in a...,1,Love in a Puff,2010,3,3.59,3.39,0.2,6.0,better
Love in a...,2,Love in the Buff,2012,3,3.32,3.39,-0.07,-2.0,worse
Love in a...,3,Love Off the Cuff,2017,3,3.27,3.39,-0.12,-4.0,worse
MVP,1,MVP: Most Valuable Primate,2000,3,2.47,2.68,-0.21,-8.0,worse
MVP,2,MVP 2: Most Vertical Primate,2001,3,2.75,2.68,0.07,3.0,better
MVP,3,MXP: Most Xtreme Primate,2004,3,2.82,2.68,0.14,5.0,better
Mad Max,1,Mad Max,1979,4,3.36,3.62,-0.26,-7.0,worse
Mad Max,2,Mad Max 2,1981,4,3.91,3.62,0.29,8.0,better
Mad Max,3,Mad Max Beyond Thunderdome,1985,4,3.02,3.62,-0.6,-17.0,worse
Mad Max,4,Mad Max: Fury Road,2015,4,4.17,3.62,0.55,15.0,better
Madagascar,1,Madagascar,2005,3,3.43,3.11,0.32,10.0,better
Madagascar,2,Madagascar: Escape 2 Africa,2008,3,3.04,3.11,-0.07,-2.0,worse
Madagascar,3,Madagascar 3: Europe's Most Wanted,2012,3,2.87,3.11,-0.24,-8.0,worse
Made in Abyss (Movie),1,Made in Abyss: Journey's Dawn,2019,3,3.74,3.86,-0.12,-3.0,worse
Made in Abyss (Movie),2,Made in Abyss: Wandering Twilight,2019,3,3.9,3.86,0.04,1.0,better
Made in Abyss (Movie),3,Made in Abyss: Dawn of the Deep Soul,2020,3,3.95,3.86,0.09,2.0,better
Magic Mike,1,Magic Mike,2012,3,2.97,2.89,0.08,3.0,better
Magic Mike,2,Magic Mike XXL,2015,3,3.14,2.89,0.25,9.0,better
Magic Mike,3,Magic Mike's Last Dance,2023,3,2.55,2.89,-0.34,-12.0,worse
Maigret (Jean Gabin),1,Maigret Sets a Trap,1958,3,3.5,3.42,0.08,2.0,better
Maigret (Jean Gabin),2,Maigret and the St. Fiacre Case,1959,3,3.44,3.42,0.02,1.0,better
Maigret (Jean Gabin),3,Maigret Sees Red,1963,3,3.31,3.42,-0.11,-3.0,worse
Major League,1,Major League,1989,3,3.49,2.83,0.66,23.0,better
Major League,2,Major League II,1994,3,2.76,2.83,-0.07,-2.0,worse
Major League,3,Major League: Back to the Minors,1998,3,2.23,2.83,-0.6,-21.0,worse
Malevolence,1,Malevolence,2004,3,2.6,2.63,-0.03,-1.0,worse
Malevolence,2,Bereavement,2010,3,2.51,2.63,-0.12,-5.0,worse
Malevolence,3,Malevolence 3: Killer,2018,3,2.79,2.63,0.16,6.0,better
Maniac Cop,1,Maniac Cop,1988,3,3.08,2.96,0.12,4.0,better
Maniac Cop,2,Maniac Cop 2,1990,3,3.21,2.96,0.25,8.0,better
Maniac Cop,3,Maniac Cop 3: Badge of Silence,1993,3,2.59,2.96,-0.37,-13.0,worse
Manual of Love,1,The Manual of Love,2005,3,3.11,2.98,0.13,4.0,better
Manual of Love,2,The Manual of Love 2,2007,3,2.98,2.98,-0.0,-0.0,equal
Manual of Love,3,Ages of Love,2011,3,2.86,2.98,-0.12,-4.0,worse
Marcel Pagnol's Marseille Trilogy,1,Marius,1931,3,3.9,3.82,0.08,2.0,better
Marcel Pagnol's Marseille Trilogy,2,Fanny,1932,3,3.83,3.82,0.01,0.0,better
Marcel Pagnol's Marseille Trilogy,3,César,1936,3,3.73,3.82,-0.09,-2.0,worse
Mardock Scramble,1,Mardock Scramble: The First Compression,2010,3,3.28,3.27,0.01,0.0,better
Mardock Scramble,2,Mardock Scramble: The Second Combustion,2011,3,3.24,3.27,-0.03,-1.0,worse
Mardock Scramble,3,Mardock Scramble: The Third Exhaust,2012,3,3.28,3.27,0.01,0.0,better
Martial Law,1,Martial Law,1990,4,2.74,2.98,-0.24,-8.0,worse
Martial Law,2,Martial Law II: Undercover,1991,4,2.88,2.98,-0.1,-3.0,worse
Martial Law,3,Mission of Justice,1992,4,3.18,2.98,0.2,7.0,better
Martial Law,4,Martial Outlaw,1993,4,3.12,2.98,0.14,5.0,better
Marvel Rising,1,Marvel Rising: Secret Warriors,2018,3,2.95,3.03,-0.08,-3.0,worse
Marvel Rising,2,Marvel Rising: Heart of Iron,2019,3,3.04,3.03,0.01,0.0,better
Marvel Rising,3,Marvel Rising: Playing with Fire,2019,3,3.11,3.03,0.08,3.0,better
Maskeli Beşler [Seri],1,Maskeli Beşler: İntikam Peşinde,2005,3,2.84,2.77,0.07,3.0,better
Maskeli Beşler [Seri],2,The Masked Gang: Iraq,2007,3,2.76,2.77,-0.01,-0.0,worse
Maskeli Beşler [Seri],3,Maskeli Beşler: Kıbrıs,2008,3,2.7,2.77,-0.07,-3.0,worse
Masti,1,Masti,2004,3,2.92,2.66,0.26,10.0,better
Masti,2,Grand Masti,2013,3,2.62,2.66,-0.04,-2.0,worse
Masti,3,Great Grand Masti,2016,3,2.45,2.66,-0.21,-8.0,worse
Matt Helm,1,The Silencers,1966,4,2.96,2.93,0.03,1.0,better
Matt Helm,2,Murderers' Row,1966,4,3.09,2.93,0.16,5.0,better
Matt Helm,3,The Ambushers,1967,4,3.0,2.93,0.07,2.0,better
Matt Helm,4,The Wrecking Crew,1968,4,2.67,2.93,-0.26,-9.0,worse
Meatballs,1,Meatballs,1979,4,3.04,2.7,0.34,13.0,better
Meatballs,2,Meatballs: Part II,1984,4,2.45,2.7,-0.25,-9.0,worse
Meatballs,3,Meatballs III: Summer Job,1986,4,2.72,2.7,0.02,1.0,better
Meatballs,4,Meatballs 4: To the Rescue,1992,4,2.59,2.7,-0.11,-4.0,worse
Meet the Parents,1,Meet the Parents,2000,3,3.27,2.83,0.44,16.0,better
Meet the Parents,2,Meet the Fockers,2004,3,2.86,2.83,0.03,1.0,better
Meet the Parents,3,Little Fockers,2010,3,2.35,2.83,-0.48,-17.0,worse
Mega Shark,1,Mega Shark vs. Giant Octopus,2009,4,1.7,1.84,-0.14,-8.0,worse
Mega Shark,2,Mega Shark vs. Crocosaurus,2010,4,1.68,1.84,-0.16,-9.0,worse
Mega Shark,3,Mega Shark vs. Mecha Shark,2014,4,1.72,1.84,-0.12,-7.0,worse
Mega Shark,4,Mega Shark vs. Kolossus,2015,4,2.25,1.84,0.41,22.0,better
Men In Black,1,Men in Black,1997,3,3.63,3.2,0.43,13.0,better
Men In Black,2,Men in Black II,2002,3,2.9,3.2,-0.3,-9.0,worse
Men In Black,3,Men in Black 3,2012,3,3.06,3.2,-0.14,-4.0,worse
Mexico,1,El Mariachi,1992,3,3.4,3.29,0.11,3.0,better
Mexico,2,Desperado,1995,3,3.48,3.29,0.19,6.0,better
Mexico,3,Once Upon a Time in Mexico,2003,3,2.99,3.29,-0.3,-9.0,worse
Mi Nismo Anđeli,1,We Are Not Angels,1992,3,3.67,3.32,0.35,11.0,better
Mi Nismo Anđeli,2,We Are Not Angels 2,2005,3,3.3,3.32,-0.02,-1.0,worse
Mi Nismo Anđeli,3,We Are Not Angels 3: Rock & Roll Strike Back,2006,3,3.0,3.32,-0.32,-10.0,worse
Mick Travis,1,if....,1968,3,3.77,3.6,0.17,5.0,better
Mick Travis,2,O Lucky Man!,1973,3,3.81,3.6,0.21,6.0,better
Mick Travis,3,Britannia Hospital,1982,3,3.23,3.6,-0.37,-10.0,worse
Milieu trilogy,1,Caliber 9,1972,3,3.73,3.6,0.13,4.0,better
Milieu trilogy,2,The Italian Connection,1972,3,3.59,3.6,-0.01,-0.0,worse
Milieu trilogy,3,The Boss,1973,3,3.47,3.6,-0.13,-4.0,worse
Mimic,1,Mimic,1997,3,2.95,2.49,0.46,18.0,better
Mimic,2,Mimic 2,2001,3,2.3,2.49,-0.19,-8.0,worse
Mimic,3,Mimic: Sentinel,2003,3,2.21,2.49,-0.28,-11.0,worse
Miraculous World,1,"Miraculous World: New York, United HeroeZ",2020,3,3.42,3.44,-0.02,-1.0,worse
Miraculous World,2,Miraculous World: Shanghai – The Legend of Ladydragon,2021,3,3.29,3.44,-0.15,-4.0,worse
Miraculous World,3,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023,3,3.6,3.44,0.16,5.0,better
Miss Marple,1,Murder She Said,1961,4,3.52,3.46,0.06,2.0,better
Miss Marple,2,Murder at the Gallop,1963,4,3.47,3.46,0.01,0.0,better
Miss Marple,3,Murder Most Foul,1964,4,3.45,3.46,-0.01,-0.0,worse
Miss Marple,4,Murder Ahoy,1964,4,3.4,3.46,-0.06,-2.0,worse
Missing in Action,1,Missing in Action,1984,3,2.71,2.64,0.07,3.0,better
Missing in Action,2,Missing in Action 2: The Beginning,1985,3,2.65,2.64,0.01,0.0,better
Missing in Action,3,Braddock: Missing in Action III,1988,3,2.57,2.64,-0.07,-3.0,worse
Mission: Impossible,1,Mission: Impossible,1996,7,3.58,3.53,0.05,1.0,better
Mission: Impossible,2,Mission: Impossible II,2000,7,2.59,3.53,-0.94,-27.0,worse
Mission: Impossible,3,Mission: Impossible III,2006,7,3.34,3.53,-0.19,-5.0,worse
Mission: Impossible,4,Mission: Impossible – Ghost Protocol,2011,7,3.7,3.53,0.17,5.0,better
Mission: Impossible,5,Mission: Impossible – Rogue Nation,2015,7,3.71,3.53,0.18,5.0,better
Mission: Impossible,6,Mission: Impossible – Fallout,2018,7,3.96,3.53,0.43,12.0,better
Mission: Impossible,7,Mission: Impossible – Dead Reckoning Part One,2023,7,3.8,3.53,0.27,8.0,better
Mobile Suit Gundam,1,Mobile Suit Gundam I,1981,4,3.54,3.68,-0.15,-4.0,worse
Mobile Suit Gundam,2,Mobile Suit Gundam II: Soldiers of Sorrow,1981,4,3.56,3.68,-0.12,-3.0,worse
Mobile Suit Gundam,3,Mobile Suit Gundam III: Encounters in Space,1982,4,3.88,3.68,0.19,5.0,better
Mobile Suit Gundam,4,Mobile Suit Gundam: Char's Counterattack,1988,4,3.76,3.68,0.07,2.0,better
Mobile Suit Gundam: The Origin,1,Mobile Suit Gundam: The Origin I - Blue-Eyed Casval,2015,6,3.78,3.79,-0.01,-0.0,worse
Mobile Suit Gundam: The Origin,2,Mobile Suit Gundam: The Origin II - Artesia's Sorrow,2015,6,3.69,3.79,-0.1,-3.0,worse
Mobile Suit Gundam: The Origin,3,Mobile Suit Gundam: The Origin III - Dawn of Rebellion,2016,6,3.89,3.79,0.1,3.0,better
Mobile Suit Gundam: The Origin,4,Mobile Suit Gundam: The Origin IV – Eve of Destiny,2016,6,3.72,3.79,-0.07,-2.0,worse
Mobile Suit Gundam: The Origin,5,Mobile Suit Gundam: The Origin V: Clash at Loum,2017,6,3.83,3.79,0.04,1.0,better
Mobile Suit Gundam: The Origin,6,Mobile Suit Gundam: The Origin VI – Rise of the Red Comet,2018,6,3.82,3.79,0.03,1.0,better
Mobile Suit Zeta Gundam A New Translation,1,Mobile Suit Zeta Gundam A New Translation I: Heir to the Stars,2005,3,3.35,3.33,0.02,1.0,better
Mobile Suit Zeta Gundam A New Translation,2,Mobile Suit Zeta Gundam A New Translation II: Lovers,2005,3,3.31,3.33,-0.02,-1.0,worse
Mobile Suit Zeta Gundam A New Translation,3,Mobile Suit Zeta Gundam A New Translation III: Love is the Pulse of the Stars,2006,3,3.33,3.33,0.0,0.0,equal
Monsieur Hulot,1,Monsieur Hulot's Holiday,1953,4,3.72,3.9,-0.19,-5.0,worse
Monsieur Hulot,2,Mon Oncle,1958,4,4.01,3.9,0.1,3.0,better
Monsieur Hulot,3,PlayTime,1967,4,4.19,3.9,0.29,7.0,better
Monsieur Hulot,4,Trafic,1971,4,3.7,3.9,-0.21,-5.0,worse
Mortadelo y Filemón - Colección,1,Mortadelo & Filemon: The Big Adventure,2003,3,3.09,3.05,0.04,1.0,better
Mortadelo y Filemón - Colección,2,Mortadelo & Filemon Mission Save the Planet,2008,3,2.79,3.05,-0.26,-9.0,worse
Mortadelo y Filemón - Colección,3,Mortadelo and Filemon: Mission Implausible,2014,3,3.28,3.05,0.23,8.0,better
Mortal Kombat Legends,1,Mortal Kombat Legends: Scorpion's Revenge,2020,3,3.38,3.19,0.19,6.0,better
Mortal Kombat Legends,2,Mortal Kombat Legends: Battle of the Realms,2021,3,2.95,3.19,-0.24,-8.0,worse
Mortal Kombat Legends,3,Mortal Kombat Legends: Snow Blind,2022,3,3.25,3.19,0.06,2.0,better
Mostly Ghostly,1,Mostly Ghostly,2008,3,2.59,2.65,-0.06,-2.0,worse
Mostly Ghostly,2,Mostly Ghostly: Have You Met My Ghoulfriend?,2014,3,2.61,2.65,-0.04,-2.0,worse
Mostly Ghostly,3,Mostly Ghostly 3: One Night in Doom House,2016,3,2.74,2.65,0.09,3.0,better
Mr. Wong,1,"Mr. Wong, Detective",1938,6,3.02,3.04,-0.02,-1.0,worse
Mr. Wong,2,The Mystery of Mr. Wong,1939,6,3.12,3.04,0.08,3.0,better
Mr. Wong,3,Mr. Wong in Chinatown,1939,6,3.09,3.04,0.04,1.0,better
Mr. Wong,4,The Fatal Hour,1940,6,2.94,3.04,-0.1,-3.0,worse
Mr. Wong,5,Doomed to Die,1940,6,3.01,3.04,-0.04,-1.0,worse
Mr. Wong,6,Phantom of Chinatown,1940,6,3.09,3.04,0.04,1.0,better
Muni,1,Muni,2007,3,3.12,2.81,0.31,11.0,better
Muni,2,Kanchana 2,2015,3,2.79,2.81,-0.02,-1.0,worse
Muni,3,Kanchana 3,2019,3,2.53,2.81,-0.28,-10.0,worse
Murder,1,Murder,2004,3,2.9,2.97,-0.07,-2.0,worse
Murder,2,Murder 2,2011,3,3.1,2.97,0.13,4.0,better
Murder,3,Murder 3,2013,3,2.91,2.97,-0.06,-2.0,worse
My Big Fat Greek Wedding,1,My Big Fat Greek Wedding,2002,3,3.33,2.76,0.57,21.0,better
My Big Fat Greek Wedding,2,My Big Fat Greek Wedding 2,2016,3,2.71,2.76,-0.05,-2.0,worse
My Big Fat Greek Wedding,3,My Big Fat Greek Wedding 3,2023,3,2.25,2.76,-0.51,-18.0,worse
My Friends,1,My Friends,1975,4,3.94,3.38,0.56,17.0,better
My Friends,2,My Friends Act II,1982,4,3.67,3.38,0.29,9.0,better
My Friends,3,My Friends Act III,1985,4,3.31,3.38,-0.06,-2.0,worse
My Friends,4,My Friends: How It All Began,2011,4,2.58,3.38,-0.8,-24.0,worse
My Little Pony: Equestria Girls,1,My Little Pony: Equestria Girls,2013,9,3.31,3.27,0.04,1.0,better
My Little Pony: Equestria Girls,2,My Little Pony: Equestria Girls - Rainbow Rocks,2014,9,3.67,3.27,0.4,12.0,better
My Little Pony: Equestria Girls,3,My Little Pony: Equestria Girls: Friendship Games,2015,9,3.15,3.27,-0.12,-4.0,worse
My Little Pony: Equestria Girls,4,My Little Pony: Equestria Girls - Legend of Everfree,2016,9,3.0,3.27,-0.27,-8.0,worse
My Little Pony: Equestria Girls,5,My Little Pony: Equestria Girls - Forgotten Friendship,2018,9,3.26,3.27,-0.01,-0.0,worse
My Little Pony: Equestria Girls,6,My Little Pony: Equestria Girls: Rollercoaster of Friendship,2018,9,3.16,3.27,-0.11,-3.0,worse
My Little Pony: Equestria Girls,7,My Little Pony: Equestria Girls - Spring Breakdown,2019,9,3.2,3.27,-0.07,-2.0,worse
My Little Pony: Equestria Girls,8,My Little Pony: Equestria Girls - Sunset's Backstage Pass,2019,9,3.41,3.27,0.14,4.0,better
My Little Pony: Equestria Girls,9,My Little Pony: Equestria Girls - Holidays Unwrapped,2019,9,3.23,3.27,-0.04,-1.0,worse
My Mom is a Character,1,My Mom Is a Character,2013,3,3.58,3.52,0.06,2.0,better
My Mom is a Character,2,My Mom Is a Character 2,2016,3,3.41,3.52,-0.11,-3.0,worse
My Mom is a Character,3,My Mom Is a Character 3,2019,3,3.57,3.52,0.05,1.0,better
My New Partner,1,My New Partner,1984,3,3.48,3.22,0.26,8.0,better
My New Partner,2,My New Partner II,1990,3,3.21,3.22,-0.01,-0.0,worse
My New Partner,3,My New Partner III,2003,3,2.98,3.22,-0.24,-7.0,worse
My Super Psycho Sweet 16,1,My Super Psycho Sweet 16,2009,3,2.99,3.03,-0.04,-1.0,worse
My Super Psycho Sweet 16,2,My Super Psycho Sweet 16: Part 2,2010,3,3.08,3.03,0.05,2.0,better
My Super Psycho Sweet 16,3,My Super Psycho Sweet 16: Part 3,2012,3,3.01,3.03,-0.02,-1.0,worse
My Wife is a Gangster,1,My Wife Is a Gangster,2001,3,3.02,3.02,0.0,0.0,equal
My Wife is a Gangster,2,My Wife Is A Gangster 2,2003,3,2.98,3.02,-0.04,-1.0,worse
My Wife is a Gangster,3,My Wife Is a Gangster 3,2006,3,3.06,3.02,0.04,1.0,better
Mythica,1,Mythica: A Quest for Heroes,2014,5,2.88,3.08,-0.2,-7.0,worse
Mythica,2,Mythica: The Darkspore,2015,5,2.98,3.08,-0.1,-3.0,worse
Mythica,3,Mythica: The Necromancer,2015,5,3.09,3.08,0.01,0.0,better
Mythica,4,Mythica: The Iron Crown,2016,5,3.2,3.08,0.12,4.0,better
Mythica,5,Mythica: The Godslayer,2016,5,3.23,3.08,0.15,5.0,better
Nadodikkattu,1,Nadodikkattu,1987,3,3.75,3.6,0.15,4.0,better
Nadodikkattu,2,Pattanapravesham,1988,3,3.56,3.6,-0.04,-1.0,worse
Nadodikkattu,3,Akkare Akkare Akkare,1990,3,3.48,3.6,-0.12,-3.0,worse
Naked Gun,1,The Naked Gun: From the Files of Police Squad!,1988,3,3.75,3.41,0.34,10.0,better
Naked Gun,2,The Naked Gun 2½: The Smell of Fear,1991,3,3.36,3.41,-0.05,-1.0,worse
Naked Gun,3,Naked Gun 33⅓: The Final Insult,1994,3,3.13,3.41,-0.28,-8.0,worse
Nancy Drew,1,Nancy Drew… Detective,1938,4,3.28,3.25,0.03,1.0,better
Nancy Drew,2,Nancy Drew... Reporter,1939,4,3.23,3.25,-0.02,-1.0,worse
Nancy Drew,3,Nancy Drew... Trouble Shooter,1939,4,3.2,3.25,-0.05,-2.0,worse
Nancy Drew,4,Nancy Drew and the Hidden Staircase,1939,4,3.29,3.25,0.04,1.0,better
National Lampoon's Vacation,1,National Lampoon's Vacation,1983,4,3.47,3.14,0.33,11.0,better
National Lampoon's Vacation,2,National Lampoon's European Vacation,1985,4,2.87,3.14,-0.27,-9.0,worse
National Lampoon's Vacation,3,National Lampoon's Christmas Vacation,1989,4,3.51,3.14,0.37,12.0,better
National Lampoon's Vacation,4,Vegas Vacation,1997,4,2.72,3.14,-0.42,-13.0,worse
National Lampoon's Van Wilder,1,National Lampoon's Van Wilder,2002,3,2.72,2.31,0.41,18.0,better
National Lampoon's Van Wilder,2,Van Wilder 2: The Rise of Taj,2006,3,2.13,2.31,-0.18,-8.0,worse
National Lampoon's Van Wilder,3,Van Wilder: Freshman Year,2009,3,2.08,2.31,-0.23,-10.0,worse
Nativity,1,Nativity!,2009,4,3.38,2.57,0.81,31.0,better
Nativity,2,Nativity 2: Danger in the Manger!,2012,4,2.78,2.57,0.21,8.0,better
Nativity,3,"Nativity 3: Dude, Where's My Donkey?!",2014,4,2.07,2.57,-0.5,-19.0,worse
Nativity,4,Nativity Rocks!,2018,4,2.06,2.57,-0.51,-20.0,worse
Never Back Down,1,Never Back Down,2008,4,2.83,2.61,0.22,8.0,better
Never Back Down,2,Never Back Down 2: The Beatdown,2011,4,2.4,2.61,-0.21,-8.0,worse
Never Back Down,3,Never Back Down: No Surrender,2016,4,2.57,2.61,-0.04,-2.0,worse
Never Back Down,4,Never Back Down: Revolt,2021,4,2.65,2.61,0.04,2.0,better
New Battles Without Honor and Humanity,1,New Battles Without Honor and Humanity 1,1974,3,3.44,3.51,-0.07,-2.0,worse
New Battles Without Honor and Humanity,2,New Battles Without Honor and Humanity 2: Head of the Boss,1975,3,3.59,3.51,0.08,2.0,better
New Battles Without Honor and Humanity,3,New Battles Without Honor and Humanity 3: Last Days of the Boss,1976,3,3.49,3.51,-0.02,-1.0,worse
New Initial D,1,New Initial D the Movie - Legend 1: Awakening,2014,3,3.45,3.47,-0.02,-1.0,worse
New Initial D,2,New Initial D the Movie - Legend 2: Racer,2015,3,3.47,3.47,0.0,0.0,equal
New Initial D,3,New Initial D the Movie - Legend 3: Dream,2016,3,3.48,3.47,0.01,0.0,better
Night at the Museum,1,Night at the Museum,2006,3,3.21,2.91,0.3,10.0,better
Night at the Museum,2,Night at the Museum: Battle of the Smithsonian,2009,3,2.8,2.91,-0.11,-4.0,worse
Night at the Museum,3,Night at the Museum: Secret of the Tomb,2014,3,2.71,2.91,-0.2,-7.0,worse
Night of the Demons,1,Night of the Demons,1988,4,3.1,2.72,0.38,14.0,better
Night of the Demons,2,Night of the Demons 2,1994,4,3.05,2.72,0.32,12.0,better
Night of the Demons,3,Night of the Demons III,1997,4,2.35,2.72,-0.38,-14.0,worse
Night of the Demons,4,Night of the Demons,2009,4,2.4,2.72,-0.33,-12.0,worse
"No Retreat, No Surrender",1,"No Retreat, No Surrender",1986,5,2.78,3.04,-0.26,-9.0,worse
"No Retreat, No Surrender",2,"No Retreat, No Surrender 2: Raging Thunder",1987,5,2.97,3.04,-0.07,-2.0,worse
"No Retreat, No Surrender",3,"No Retreat, No Surrender 3: Blood Brothers",1990,5,3.17,3.04,0.13,4.0,better
"No Retreat, No Surrender",4,The King of the Kickboxers,1990,5,3.2,3.04,0.16,5.0,better
"No Retreat, No Surrender",5,American Shaolin,1991,5,3.09,3.04,0.05,2.0,better
Non ci resta che il crimine - Collezione,1,All You Need is Crime,2019,3,3.03,2.97,0.06,2.0,better
Non ci resta che il crimine - Collezione,2,Ritorno al crimine,2021,3,2.94,2.97,-0.03,-1.0,worse
Non ci resta che il crimine - Collezione,3,C’era una volta il crimine,2022,3,2.93,2.97,-0.04,-1.0,worse
Norm of the North,1,Norm of the North,2016,4,1.37,2.01,-0.64,-32.0,worse
Norm of the North,2,Norm of the North: Keys to the Kingdom,2018,4,1.96,2.01,-0.05,-2.0,worse
Norm of the North,3,Norm of the North: King Sized Adventure,2019,4,2.34,2.01,0.33,16.0,better
Norm of the North,4,Norm of the North: Family Vacation,2020,4,2.36,2.01,0.35,17.0,better
Not Quite Human,1,Not Quite Human,1987,3,2.98,3.01,-0.03,-1.0,worse
Not Quite Human,2,Not Quite Human II,1989,3,3.05,3.01,0.04,1.0,better
Not Quite Human,3,Still Not Quite Human,1992,3,3.01,3.01,-0.0,-0.0,equal
OSS 117 The Reboot Saga,1,"OSS 117: Cairo, Nest of Spies",2006,3,3.63,3.33,0.3,9.0,better
OSS 117 The Reboot Saga,2,OSS 117: Lost in Rio,2009,3,3.57,3.33,0.24,7.0,better
OSS 117 The Reboot Saga,3,OSS 117: From Africa with Love,2021,3,2.8,3.33,-0.53,-16.0,worse
Ocean's,1,Ocean's Eleven,2001,3,3.87,3.48,0.39,11.0,better
Ocean's,2,Ocean's Twelve,2004,3,3.25,3.48,-0.23,-7.0,worse
Ocean's,3,Ocean's Thirteen,2007,3,3.32,3.48,-0.16,-5.0,worse
"Oh, God!",1,"Oh, God!",1977,3,3.16,2.93,0.23,8.0,better
"Oh, God!",2,"Oh, God! Book II",1980,3,2.78,2.93,-0.15,-5.0,worse
"Oh, God!",3,"Oh, God! You Devil",1984,3,2.85,2.93,-0.08,-3.0,worse
Olsenbanden Jr.,1,The Junior Olsen Gang Goes Submarine,2003,6,3.24,3.2,0.04,1.0,better
Olsenbanden Jr.,2,The Junior Olsen Gang Rocks It,2004,6,3.32,3.2,0.12,4.0,better
Olsenbanden Jr.,3,The Junior Olsen Gang at the Circus,2006,6,3.21,3.2,0.01,0.0,better
Olsenbanden Jr.,4,The Junior Olsen Gang and the Silver Mine Mystery,2007,6,3.17,3.2,-0.03,-1.0,worse
Olsenbanden Jr.,5,The Junior Olsen Gang and the Black Gold,2009,6,3.13,3.2,-0.07,-2.0,worse
Olsenbanden Jr.,6,The Junior Olsen Gang and the Master Thief,2010,6,3.15,3.2,-0.05,-2.0,worse
On the Buses,1,On the Buses,1971,3,3.04,3.09,-0.05,-2.0,worse
On the Buses,2,Mutiny on the Buses,1972,3,3.12,3.09,0.03,1.0,better
On the Buses,3,Holiday on the Buses,1973,3,3.12,3.09,0.03,1.0,better
Once Upon a Time in China,1,Once Upon a Time in China,1991,6,3.69,3.36,0.33,10.0,better
Once Upon a Time in China,2,Once Upon a Time in China II,1992,6,3.73,3.36,0.37,11.0,better
Once Upon a Time in China,3,Once Upon a Time in China III,1992,6,3.33,3.36,-0.03,-1.0,worse
Once Upon a Time in China,4,Once Upon a Time in China IV,1993,6,3.08,3.36,-0.28,-8.0,worse
Once Upon a Time in China,5,Once Upon a Time in China V,1994,6,3.23,3.36,-0.13,-4.0,worse
Once Upon a Time in China,6,Once Upon a Time in China and America,1997,6,3.09,3.36,-0.27,-8.0,worse
One Cut of the Dead,1,One Cut of the Dead,2017,3,4.05,3.56,0.49,14.0,better
One Cut of the Dead,2,One Cut of the Dead Spin-Off: In Hollywood,2019,3,3.26,3.56,-0.3,-8.0,worse
One Cut of the Dead,3,Final Cut,2022,3,3.36,3.56,-0.2,-6.0,worse
One Missed Call,1,One Missed Call,2003,3,3.17,2.81,0.36,13.0,better
One Missed Call,2,One Missed Call 2,2005,3,2.66,2.81,-0.15,-5.0,worse
One Missed Call,3,One Missed Call 3: Final,2006,3,2.61,2.81,-0.2,-7.0,worse
Ong Bak,1,Ong Bak: Muay Thai Warrior,2003,3,3.54,2.99,0.55,18.0,better
Ong Bak,2,Ong Bak 2,2008,3,2.93,2.99,-0.06,-2.0,worse
Ong Bak,3,Ong Bak 3,2010,3,2.49,2.99,-0.5,-17.0,worse
Open Season,1,Open Season,2006,4,2.76,2.26,0.5,22.0,better
Open Season,2,Open Season 2,2008,4,2.33,2.26,0.07,3.0,better
Open Season,3,Open Season 3,2010,4,1.89,2.26,-0.37,-16.0,worse
Open Season,4,Open Season: Scared Silly,2015,4,2.06,2.26,-0.2,-9.0,worse
Open Water,1,Open Water,2003,3,2.68,2.32,0.36,15.0,better
Open Water,2,Open Water 2: Adrift,2006,3,2.32,2.32,-0.0,-0.0,equal
