franchise,part,title,year,franchise_length,rating,rating_avg,rating_diff_avg,rating_rel_avg,quality_avg
Beck - Historien om ett brott (samling),2,Roseanna,1993,6,3.33,3.24,0.09,3.0,better
Beck - Historien om ett brott (samling),3,Polis polis potatismos,1993,6,3.26,3.24,0.02,1.0,better
Beck - Historien om ett brott (samling),4,Mannen på balkongen,1993,6,3.32,3.24,0.08,2.0,better
Beck - Historien om ett brott (samling),5,Polismördaren,1994,6,3.17,3.24,-0.07,-2.0,worse
Beck - Historien om ett brott (samling),6,Stockholm Marathon,1994,6,3.13,3.24,-0.11,-3.0,worse
Beethoven,1,Beethoven,1992,8,2.74,2.37,0.37,16.0,better
Beethoven,2,Beethoven's 2nd,1993,8,2.5,2.37,0.13,5.0,better
Beethoven,3,Beethoven's 3rd,2000,8,2.19,2.37,-0.18,-8.0,worse
Beethoven,4,Beethoven's 4th,2001,8,2.09,2.37,-0.28,-12.0,worse
Beethoven,5,Beethoven's 5th,2003,8,2.22,2.37,-0.15,-6.0,worse
Beethoven,6,Beethoven's Big Break,2008,8,2.41,2.37,0.04,2.0,better
Beethoven,7,Beethoven's Christmas Adventure,2011,8,2.12,2.37,-0.25,-11.0,worse
Beethoven,8,Beethoven's Treasure Tail,2014,8,2.69,2.37,0.32,14.0,better
Before...,1,Before Sunrise,1995,3,4.34,4.26,0.08,2.0,better
Before...,2,Before Sunset,2004,3,4.35,4.26,0.09,2.0,better
Before...,3,Before Midnight,2013,3,4.09,4.26,-0.17,-4.0,worse
Behind Enemy Lines,1,Behind Enemy Lines,2001,4,2.97,2.82,0.15,5.0,better
Behind Enemy Lines,2,Behind Enemy Lines II: Axis of Evil,2006,4,2.7,2.82,-0.12,-4.0,worse
Behind Enemy Lines,3,Behind Enemy Lines III: Colombia,2009,4,2.74,2.82,-0.08,-3.0,worse
Behind Enemy Lines,4,Seal Team Eight: Behind Enemy Lines,2014,4,2.89,2.82,0.06,2.0,better
Beiyang Trilogy,1,Let the Bullets Fly,2010,3,3.69,3.34,0.35,10.0,better
Beiyang Trilogy,2,Gone with the Bullets,2014,3,3.17,3.34,-0.17,-5.0,worse
Beiyang Trilogy,3,Hidden Man,2018,3,3.16,3.34,-0.18,-5.0,worse
Belle & Sebastian,1,Belle and Sebastian,2013,4,3.27,3.18,0.1,3.0,better
Belle & Sebastian,2,Belle and Sebastian: The Adventure Continues,2015,4,3.17,3.18,-0.0,-0.0,equal
Belle & Sebastian,3,Belle and Sebastian 3: The Last Chapter,2017,4,3.17,3.18,-0.0,-0.0,equal
Belle & Sebastian,4,Belle and Sebastian: Next Generation,2022,4,3.09,3.18,-0.08,-3.0,worse
Berserk: Golden Age Arc,1,Berserk: The Golden Age Arc I - The Egg of the King,2012,3,3.47,3.65,-0.18,-5.0,worse
Berserk: Golden Age Arc,2,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,3,3.6,3.65,-0.05,-1.0,worse
Berserk: Golden Age Arc,3,Berserk: The Golden Age Arc III - The Advent,2013,3,3.89,3.65,0.24,7.0,better
Best of the Best,1,Best of the Best,1989,4,3.09,2.98,0.11,4.0,better
