tconst,averageRating,numVotes,low_votes
tt0004208,5.5,36,False
tt0004223,6.2,83,False
tt0004238,5.4,22,False
tt0004249,4.1,26,False
tt0004253,6.4,20,False
tt0004257,5.9,23,False
tt0004272,6.8,30,False
tt0004275,6.0,19,False
tt0004291,6.8,21,False
tt0004294,6.2,32,False
tt0004295,8.1,44,False
tt0004303,4.8,23,False
tt0004306,7.8,19,False
tt0004307,5.5,33,False
tt0004313,5.8,30,False
tt0004314,5.3,25,False
tt0004319,4.7,57,False
tt0004325,5.9,41,False
tt0004328,5.4,51,False
tt0004336,5.8,47,False
tt0004337,8.0,17,False
tt0004345,4.3,17,False
tt0004363,7.1,22,False
tt0004369,6.0,41,False
tt0004371,6.7,21,False
tt0004381,2.3,28,False
tt0004384,4.4,30,False
tt0004387,6.0,52,False
tt0004390,5.6,150,False
tt0004391,5.5,72,False
tt0004398,1.3,27,False
tt0004403,6.7,30,False
tt0004415,5.2,26,False
tt0004431,6.3,21,False
tt0004434,5.3,27,False
tt0004438,5.8,18,False
tt0004447,3.2,18,False
tt0004457,5.4,632,False
tt0004465,6.3,1124,False
tt0004473,5.0,18,False
tt0004496,7.0,20,False
tt0004509,3.2,22,False
tt0004514,5.0,19,False
tt0004525,5.8,74,False
tt0004532,4.6,24,False
tt0004537,5.8,46,False
tt0004545,2.9,55,False
tt0004555,5.8,90,False
tt0004558,6.3,36,False
tt0004571,5.8,37,False
tt0004573,5.6,21,False
tt0004593,5.9,83,False
tt0004613,6.6,17,False
tt0004630,5.7,131,False
tt0004633,7.7,20,False
tt0004635,5.7,1152,False
tt0004642,3.8,21,False
tt0004651,6.7,28,False
tt0004681,5.9,310,False
tt0004696,5.4,24,False
tt0004707,6.2,3911,False
tt0004708,7.2,12,False
tt0004712,6.2,273,False
tt0004727,2.1,28,False
tt0004728,4.2,42,False
tt0004731,6.2,8,True
tt0004740,5.2,37,False
tt0004743,5.7,219,False
tt0004757,6.6,27,False
tt0004766,5.6,294,False
tt0004779,7.0,14,False
tt0004786,5.8,18,False
tt0004792,6.6,33,False
tt0004816,5.3,23,False
tt0004825,6.4,391,False
tt0004829,4.7,17,False
tt0004832,5.4,66,False
tt0004833,6.3,19,False
tt0004837,6.4,34,False
tt0004838,5.8,225,False
tt0004842,5.8,19,False
tt0004846,5.0,41,False
tt0004847,4.1,35,False
tt0004853,7.3,24,False
tt0004854,6.2,21,False
tt0004866,4.4,31,False
tt0004869,4.2,36,False
tt0004872,6.5,314,False
tt0004873,6.1,980,False
tt0004874,5.6,18,False
tt0004883,4.2,18,False
tt0004885,4.5,18,False
tt0004891,6.0,20,False
tt0004897,4.0,29,False
tt0004905,5.1,59,False
tt0004907,7.0,44,False
tt0004911,4.7,18,False
tt0004937,6.8,19,False
tt0004938,4.4,15,False
tt0004939,7.6,16,False
tt0004942,4.9,25,False
tt0004961,6.1,31,False
tt0004962,7.2,15,False
tt0004972,6.1,28250,False
tt0004974,4.6,34,False
tt0004979,4.6,21,False
tt0005003,5.5,20,False
tt0005005,6.4,35,False
tt0005034,6.6,24,False
tt0005040,6.6,13,False
tt0005041,6.6,71,False
tt0005049,6.6,25,False
tt0005054,7.9,32,False
tt0005056,4.6,24,False
tt0005059,6.5,195,False
tt0005060,6.3,1181,False
tt0005061,4.4,55,False
tt0005062,4.7,26,False
tt0005076,6.5,86,False
tt0005078,6.5,3066,False
tt0005082,4.4,32,False
tt0005084,6.0,142,False
tt0005087,4.6,37,False
tt0005095,7.0,18,False
tt0005099,4.6,18,False
tt0005100,5.8,20,False
tt0005149,6.0,367,False
tt0005160,5.0,37,False
tt0005163,6.0,44,False
tt0005172,6.0,39,False
tt0005179,5.8,78,False
tt0005180,7.1,31,False
tt0005190,7.3,30,False
tt0005192,6.7,27,False
tt0005193,8.2,24,False
tt0005195,5.1,30,False
tt0005196,7.5,53,False
tt0005200,6.5,54,False
tt0005209,5.1,49,False
tt0005214,5.2,167,False
tt0005231,3.4,52,False
tt0005232,6.9,26,False
tt0005250,5.0,26,False
tt0005257,7.6,16,False
tt0005295,6.4,17,False
tt0005298,6.2,18,False
tt0005302,6.4,409,False
tt0005328,4.3,20,False
tt0005330,7.6,18,False
tt0005332,5.2,10,False
tt0005334,5.4,13,False
tt0005335,8.3,19,False
tt0005339,5.7,1162,False
tt0005352,5.4,29,False
tt0005353,7.1,50,False
tt0005363,7.1,26,False
tt0005367,7.3,18,False
tt0005368,5.0,24,False
tt0005377,5.2,26,False
tt0005381,5.4,110,False
tt0005384,6.1,36,False
tt0005392,6.6,25,False
tt0005393,5.2,100,False
tt0005400,5.8,25,False
tt0005402,6.6,295,False
tt0005405,5.0,24,False
tt0005408,6.7,18,False
tt0005411,1.0,25,False
tt0005415,4.4,9,True
tt0005416,5.1,32,False
tt0005423,6.8,17,False
tt0005427,5.8,18,False
tt0005452,5.8,16,False
tt0005460,5.6,82,False
tt0005464,5.0,20,False
tt0005496,7.1,17,False
tt0005513,4.5,46,False
tt0005514,4.0,48,False
tt0005522,5.5,69,False
